threshold,mecA_TP_AMRFINDER,mecA_FP_AMRFINDER,mecA_TN_AMRFINDER,mecA_FN_AMRFINDER,lukF_TP_AMRFINDER,lukF_FP_AMRFINDER,lukF_TN_AMRFINDER,lukF_FN_AMRFINDER,lukS_TP_AMRFINDER,lukS_FP_AMRFINDER,lukS_TN_AMRFINDER,lukS_FN_AMRFINDER,mecA_sensitivity_AMRFINDER,mecA_specificity_AMRFINDER,lukF_sensitivity_AMRFINDER,lukF_specificity_AMRFINDER,lukS_sensitivity_AMRFINDER,lukS_specificity_AMRFINDER,mean_estimated_coverage,n_kmer,n_reads
0.05,63,2,86,14,41,2,91,31,43,8,84,30,0.818181818181818,0.977272727272727,0.569444444444445,0.978494623655914,0.589041095890411,0.91304347826087,0.156307692640693,100,3000
0.05,63,2,86,14,44,4,89,28,43,1,91,30,0.818181818181818,0.977272727272727,0.611111111111111,0.956989247311828,0.589041095890411,0.989130434782609,0.156307692640693,200,3000
0.05,64,2,86,13,47,4,89,25,43,1,91,30,0.831168831168831,0.977272727272727,0.652777777777778,0.956989247311828,0.589041095890411,0.989130434782609,0.156307692640693,300,3000
0.05,65,2,86,12,48,9,84,24,43,1,91,30,0.844155844155844,0.977272727272727,0.666666666666667,0.903225806451613,0.589041095890411,0.989130434782609,0.156307692640693,400,3000
0.05,65,2,86,12,47,6,87,25,43,1,91,30,0.844155844155844,0.977272727272727,0.652777777777778,0.935483870967742,0.589041095890411,0.989130434782609,0.156307692640693,500,3000
0.05,64,2,86,13,45,6,87,27,43,1,91,30,0.831168831168831,0.977272727272727,0.625,0.935483870967742,0.589041095890411,0.989130434782609,0.156307692640693,600,3000
0.05,65,2,86,12,47,6,87,25,43,1,91,30,0.844155844155844,0.977272727272727,0.652777777777778,0.935483870967742,0.589041095890411,0.989130434782609,0.156307692640693,700,3000
0.05,65,2,86,12,46,7,86,26,43,1,91,30,0.844155844155844,0.977272727272727,0.638888888888889,0.924731182795699,0.589041095890411,0.989130434782609,0.156307692640693,800,3000
0.05,65,2,86,12,47,6,87,25,43,1,91,30,0.844155844155844,0.977272727272727,0.652777777777778,0.935483870967742,0.589041095890411,0.989130434782609,0.156307692640693,900,3000
0.05,65,2,86,12,47,6,87,25,43,1,91,30,0.844155844155844,0.977272727272727,0.652777777777778,0.935483870967742,0.589041095890411,0.989130434782609,0.156307692640693,all,3000
0.05,68,2,86,9,49,3,90,23,49,10,82,24,0.883116883116883,0.977272727272727,0.680555555555556,0.967741935483871,0.671232876712329,0.891304347826087,0.208392963203463,100,4000
0.05,68,2,86,9,52,7,86,20,47,2,90,26,0.883116883116883,0.977272727272727,0.722222222222222,0.924731182795699,0.643835616438356,0.978260869565217,0.208392963203463,200,4000
0.05,67,2,86,10,55,7,86,17,47,2,90,26,0.87012987012987,0.977272727272727,0.763888888888889,0.924731182795699,0.643835616438356,0.978260869565217,0.208392963203463,300,4000
0.05,68,2,86,9,56,14,79,16,47,1,91,26,0.883116883116883,0.977272727272727,0.777777777777778,0.849462365591398,0.643835616438356,0.989130434782609,0.208392963203463,400,4000
0.05,68,2,86,9,56,8,85,16,47,1,91,26,0.883116883116883,0.977272727272727,0.777777777777778,0.913978494623656,0.643835616438356,0.989130434782609,0.208392963203463,500,4000
0.05,68,2,86,9,52,7,86,20,47,1,91,26,0.883116883116883,0.977272727272727,0.722222222222222,0.924731182795699,0.643835616438356,0.989130434782609,0.208392963203463,600,4000
