max_reads_used,snps_used,snps_type,call_type,n_correct,n_single,n_single_correct
6000,300,non_random_200,fast,22,22,22
7000,300,non_random_200,fast,22,22,22
8000,300,non_random_200,fast,22,22,22
1000,13,non_random_200,fast,23,20,19
2000,13,non_random_200,fast,24,22,22
3000,13,non_random_200,fast,23,23,23
4000,13,non_random_200,fast,22,22,22
5000,13,non_random_200,fast,22,22,22
6000,13,non_random_200,fast,22,22,22
7000,13,non_random_200,fast,22,22,22
8000,13,non_random_200,fast,22,22,22
1000,385,non_random_200,fast,24,24,24
2000,385,non_random_200,fast,24,24,24
3000,385,non_random_200,fast,23,23,23
4000,385,non_random_200,fast,22,22,22
5000,385,non_random_200,fast,22,22,22
6000,385,non_random_200,fast,22,22,22
7000,385,non_random_200,fast,22,22,22
8000,385,non_random_200,fast,22,22,22
1000,18,non_random_200,fast,24,23,23
2000,18,non_random_200,fast,24,24,24
3000,18,non_random_200,fast,23,23,23
4000,18,non_random_200,fast,22,22,22
5000,18,non_random_200,fast,22,22,22
6000,18,non_random_200,fast,22,22,22
7000,18,non_random_200,fast,22,22,22
8000,18,non_random_200,fast,22,22,22
1000,99,non_random_200,fast,24,24,24
2000,99,non_random_200,fast,24,24,24
3000,99,non_random_200,fast,23,23,23
4000,99,non_random_200,fast,22,22,22
5000,99,non_random_200,fast,22,22,22
6000,99,non_random_200,fast,22,22,22
7000,99,non_random_200,fast,22,22,22
8000,99,non_random_200,fast,22,22,22
1000,23,non_random_200,fast,24,24,24
2000,23,non_random_200,fast,24,24,24
3000,23,non_random_200,fast,23,23,23
4000,23,non_random_200,fast,22,22,22
5000,23,non_random_200,fast,22,22,22
6000,23,non_random_200,fast,22,22,22
7000,23,non_random_200,fast,22,22,22
8000,23,non_random_200,fast,22,22,22
1000,27,non_random_200,fast,24,24,24
2000,27,non_random_200,fast,24,24,24
3000,27,non_random_200,fast,23,23,23
4000,27,non_random_200,fast,22,22,22
5000,27,non_random_200,fast,22,22,22
6000,27,non_random_200,fast,22,22,22
7000,27,non_random_200,fast,22,22,22
8000,27,non_random_200,fast,22,22,22
1000,199,non_random_200,fast,24,24,24
2000,199,non_random_200,fast,24,24,24
3000,199,non_random_200,fast,23,23,23
4000,199,non_random_200,fast,22,22,22
5000,199,non_random_200,fast,22,22,22
6000,199,non_random_200,fast,22,22,22
7000,199,non_random_200,fast,22,22,22
8000,199,non_random_200,fast,22,22,22
1000,100,random_400,hac,23,14,13
2000,100,random_400,hac,24,19,19
3000,100,random_400,hac,23,19,19
4000,100,random_400,hac,22,20,20
5000,100,random_400,hac,22,20,20
6000,100,random_400,hac,22,20,20
7000,100,random_400,hac,22,20,20
8000,100,random_400,hac,22,20,20
1000,13,random_400,hac,23,5,4
2000,13,random_400,hac,24,4,4
3000,13,random_400,hac,23,4,4
4000,13,random_400,hac,22,4,4
5000,13,random_400,hac,22,4,4
6000,13,random_400,hac,22,4,4
7000,13,random_400,hac,22,4,4
8000,13,random_400,hac,22,4,4
1000,18,random_400,hac,23,5,4
2000,18,random_400,hac,24,4,4
3000,18,random_400,hac,23,4,4
4000,18,random_400,hac,22,4,4
