pubmlst_id,resolution,reads,predicted_MLST.CC,predicted_MLST.ST,predicted_mecA,predicted_pvl,shared_hashes,MLST.CC,CC_filled,predicted_mlst_is_single,predicted_cc_is_correct,predicted_st_is_correct,predicted_mlst_is_correct
35605,1k,2000,CC45,45,MRSA,PVL-,105,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,1k,3000,CC45,45,MRSA,PVL-,72,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,1k,4000,CC45,45,MSSA,PVL-,62,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,1k,5000,CC45,45,MRSA,PVL-,55,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,1000,CC45,45,MSSA,PVL-,1293,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,2000,CC45,45,MSSA,PVL-,900,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,3000,CC45,54,MSSA,PVL-,673,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35605,10k,4000,CC45,54,MSSA,PVL-,562,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35605,10k,5000,CC45,45,MSSA,PVL-,478,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,6000,CC45,45,MRSA,PVL-,415,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,7000,CC45,45,MRSA,PVL-,372,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35605,10k,8000,CC45,45,MRSA,PVL-,347,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,1k,6000,CC45,45,MSSA,PVL-,41,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,1k,7000,"CC22,CC45","22,45","MRSA,MSSA",PVL-,39,CC45,CC45,FALSE,TRUE,TRUE,TRUE
35607,1k,1000,CC45,3627,MSSA,PVL-,162,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35607,1k,2000,CC45,54,MSSA,PVL-,107,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35607,1k,3000,CC45,45,"MSSA,MRSA",PVL-,74,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,1k,4000,CC45,45,MSSA,PVL-,60,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,1k,5000,CC45,3784,MRSA,PVL-,51,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35607,1k,8000,CC45,45,MSSA,PVL-,35,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,1000,CC45,45,MRSA,PVL-,1414,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,2000,CC45,45,MSSA,PVL-,1011,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,3000,CC45,45,MSSA,PVL-,775,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,4000,CC45,"45,54",MSSA,PVL-,635,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,5000,CC45,45,MSSA,PVL-,542,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,6000,CC45,54,MSSA,PVL-,465,CC45,CC45,TRUE,TRUE,FALSE,TRUE
35607,10k,7000,CC45,45,MRSA,PVL-,411,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35607,10k,8000,CC45,45,MSSA,PVL-,381,CC45,CC45,TRUE,TRUE,TRUE,TRUE
35868,1k,1000,CC8,8,MRSA,"PVL+,PVL*",159,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,2000,CC8,8,MSSA,PVL*,120,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,3000,CC8,8,"MRSA,MSSA",PVL*,91,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,4000,CC8,8,MSSA,PVL*,78,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,5000,CC8,8,"MRSA,MSSA",PVL*,64,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,6000,CC8,8,MSSA,PVL*,54,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,7000,CC8,8,MSSA,PVL*,51,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,1k,8000,CC8,8,MSSA,PVL*,48,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,1000,CC8,8,MRSA,PVL+,1450,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,2000,CC8,8,MRSA,PVL+,1047,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,3000,CC8,8,MRSA,PVL*,786,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,4000,CC8,8,MRSA,PVL*,629,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,5000,CC8,8,MRSA,PVL+,530,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,6000,CC8,8,MRSA,PVL+,459,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,7000,CC8,8,MRSA,PVL+,402,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35868,10k,8000,CC8,8,MRSA,PVL+,368,CC8,CC8,TRUE,TRUE,TRUE,TRUE
35870,1k,1000,CC1,1,MSSA,PVL*,164,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,2000,CC1,1,"MRSA,MSSA",PVL*,113,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,3000,CC1,1,MRSA,PVL*,83,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,4000,CC1,1,MSSA,PVL+,71,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,5000,CC1,1,MSSA,PVL*,60,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,6000,CC1,1,MSSA,"PVL*,PVL+",49,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,7000,CC1,1,MSSA,"PVL*,PVL+",48,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,1k,8000,CC1,1,MSSA,PVL*,45,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,1000,CC1,1,MRSA,PVL+,1443,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,2000,CC1,474,MSSA,PVL*,1032,CC1,CC1,TRUE,TRUE,FALSE,TRUE
35870,10k,3000,CC1,1,MRSA,PVL*,765,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,4000,CC1,1,MSSA,PVL*,618,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,5000,CC1,1,MSSA,PVL*,538,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,6000,CC1,1,MSSA,PVL*,469,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,7000,CC1,1,"MRSA,MSSA","PVL+,PVL*",412,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35870,10k,8000,CC1,1,MSSA,PVL*,374,CC1,CC1,TRUE,TRUE,TRUE,TRUE
35871,1k,2000,CC30,36,MRSA,PVL-,109,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,1k,3000,CC30,"30,36,2938","MSSA,MRSA",PVL-,83,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,1k,4000,CC30,30,MSSA,PVL-,71,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,1k,5000,CC30,"30,36","MSSA,MRSA",PVL-,60,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,1k,6000,CC30,30,MSSA,PVL-,51,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,1k,7000,CC30,30,MSSA,PVL-,48,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,1k,8000,CC30,30,MSSA,PVL-,43,CC30,CC30,TRUE,TRUE,TRUE,TRUE
35871,10k,6000,CC30,36,MRSA,PVL-,483,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,7000,CC30,36,MRSA,PVL-,431,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,8000,CC30,36,MRSA,PVL-,394,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,1k,1000,CC30,36,MRSA,PVL-,162,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,1000,CC30,36,MRSA,PVL-,1462,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,2000,CC30,36,MRSA,PVL-,1076,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,3000,CC30,36,MRSA,PVL-,801,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,4000,CC30,36,MRSA,PVL-,661,CC30,CC30,TRUE,TRUE,FALSE,TRUE
35871,10k,5000,CC30,36,MRSA,PVL-,557,CC30,CC30,TRUE,TRUE,FALSE,TRUE
36588,1k,1000,CC121,121,MSSA,PVL+,131,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,1k,2000,CC121,121,MSSA,PVL+,85,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,1k,3000,CC121,121,MSSA,PVL*,65,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,1k,4000,CC121,123,MSSA,PVL*,57,"",CC121,TRUE,TRUE,FALSE,TRUE
36588,1k,5000,CC121,123,MSSA,PVL*,48,"",CC121,TRUE,TRUE,FALSE,TRUE
36588,1k,6000,CC121,"121,123",MSSA,"PVL+,PVL*",44,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,1k,7000,CC121,"121,123",MSSA,"PVL+,PVL*",38,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,1k,8000,CC121,121,MSSA,PVL+,37,"",CC121,TRUE,TRUE,TRUE,TRUE
36588,10k,1000,CC121,121,MSSA,PVL+,1171,"",CC121,TRUE,TRUE,TRUE,TRUE
