seq_name,mecA,lukF_PV,lukS_PV,id,estimated_coverage,reads_used,mecA_rcount,mecA_prop,lukS_rcount,lukS_prop,lukF_rcount,lukF_prop,n_sequence_used
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,202,0.993333333333333,178,0.273333333333333,178,0.283333333333333,300
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,260,0.993333333333333,222,0.316666666666667,219,0.303333333333333,300
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,313,0.993333333333333,273,0.343333333333333,259,0.333333333333333,300
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,360,0.993333333333333,323,0.38,310,0.386666666666667,300
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,407,0.996666666666667,372,0.393333333333333,362,0.423333333333333,300
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,69,0.685,50,0.125,54,0.12,400
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,147,0.9125,102,0.195,111,0.2175,400
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,218,0.995,162,0.25,167,0.2675,400
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,278,0.995,215,0.2925,218,0.31,400
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,349,0.995,265,0.3325,268,0.3375,400
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,402,0.9975,331,0.35,314,0.355,400
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,476,0.9975,402,0.3875,365,0.3825,400
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,532,0.9975,445,0.395,425,0.4075,400
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,74,0.71,51,0.11,64,0.114,500
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,139,0.898,107,0.174,129,0.204,500
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,202,0.992,156,0.206,189,0.264,500
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,259,0.996,219,0.254,257,0.316,500
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,335,0.996,267,0.282,314,0.348,500
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,406,0.996,330,0.302,366,0.362,500
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,479,0.996,397,0.33,435,0.404,500
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,555,0.996,446,0.342,507,0.422,500
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,100,0.726666666666667,76,0.131666666666667,69,0.118333333333333,600
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,199,0.903333333333333,149,0.196666666666667,152,0.203333333333333,600
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,296,0.991666666666667,221,0.226666666666667,223,0.253333333333333,600
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,388,0.995,304,0.263333333333333,302,0.308333333333333,600
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,490,0.995,372,0.301666666666667,379,0.336666666666667,600
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,577,0.996666666666667,459,0.333333333333333,434,0.358333333333333,600
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,677,0.996666666666667,548,0.358333333333333,510,0.386666666666667,600
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,759,0.996666666666667,617,0.37,594,0.411666666666667,600
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,114,0.714285714285714,75,0.117142857142857,93,0.128571428571429,700
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,222,0.897142857142857,146,0.182857142857143,194,0.235714285714286,700
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,319,0.994285714285714,217,0.217142857142857,286,0.292857142857143,700
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,413,0.997142857142857,302,0.26,378,0.335714285714286,700
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,512,0.997142857142857,367,0.295714285714286,467,0.367142857142857,700
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,611,0.997142857142857,444,0.32,541,0.385714285714286,700
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,724,0.997142857142857,530,0.351428571428571,638,0.414285714285714,700
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,826,0.997142857142857,612,0.364285714285714,740,0.438571428571429,700
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,116,0.71625,79,0.115,98,0.12125,800
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,233,0.90875,158,0.185,209,0.2275,800
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,341,0.995,240,0.22375,302,0.28375,800
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,445,0.99625,324,0.265,395,0.32875,800
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,559,0.99625,401,0.305,493,0.35875,800
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,666,0.99625,488,0.3325,576,0.37875,800
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,773,0.99625,584,0.35875,680,0.4175,800
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,884,0.99625,667,0.37125,789,0.44375,800
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,118,0.717777777777778,86,0.112222222222222,98,0.124444444444444,900
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,244,0.904444444444444,169,0.182222222222222,213,0.228888888888889,900
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,372,0.993333333333333,256,0.218888888888889,310,0.286666666666667,900
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,477,0.994444444444444,346,0.258888888888889,410,0.331111111111111,900
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,610,0.994444444444444,427,0.295555555555556,505,0.362222222222222,900
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,718,0.996666666666667,523,0.323333333333333,595,0.383333333333333,900
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,834,0.996666666666667,629,0.351111111111111,695,0.414444444444444,900
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,946,0.996666666666667,721,0.364444444444444,801,0.44,900
34208_Lr12,TRUE,FALSE,FALSE,34208,3.2363575,1000,200,0.713426853707415,87,0.113636363636364,108,0.124095139607032,all
34208_Lr12,TRUE,FALSE,FALSE,34208,6.50260107142857,2000,430,0.898296593186373,170,0.181818181818182,231,0.22440537745605,all
34208_Lr12,TRUE,FALSE,FALSE,34208,9.69052571428571,3000,645,0.991983967935872,258,0.21969696969697,336,0.279214064115822,all
34208_Lr12,TRUE,FALSE,FALSE,34208,13.0230185714286,4000,848,0.993486973947896,350,0.25974025974026,445,0.324715615305067,all
34208_Lr12,TRUE,FALSE,FALSE,34208,16.2503385714286,5000,1062,0.993486973947896,431,0.296536796536797,548,0.353671147880041,all
34208_Lr12,TRUE,FALSE,FALSE,34208,19.5402860714286,6000,1271,0.994488977955912,528,0.323593073593074,641,0.37435367114788,all
34208_Lr12,TRUE,FALSE,FALSE,34208,22.8107778571429,7000,1476,0.994488977955912,634,0.350649350649351,754,0.407445708376422,all
34208_Lr12,TRUE,FALSE,FALSE,34208,26.0420146428571,8000,1693,0.99498997995992,726,0.363636363636364,873,0.431230610134436,all
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,14,0.67,16,0.14,23,0.16,100
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,32,0.91,30,0.18,38,0.22,100
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,46,0.96,46,0.23,56,0.27,100
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,59,0.98,63,0.29,64,0.31,100
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,79,0.98,85,0.37,79,0.34,100
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,106,0.99,98,0.37,99,0.37,100
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,134,0.99,118,0.42,116,0.4,100
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,154,0.99,144,0.45,136,0.42,100
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,37,0.755,40,0.145,38,0.165,200
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,78,0.95,70,0.22,62,0.23,200
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,125,0.99,104,0.28,95,0.26,200
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,166,1,126,0.32,121,0.29,200
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,202,1,159,0.345,149,0.295,200
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,246,1,189,0.38,178,0.32,200
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,300,1,224,0.41,209,0.35,200
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,345,1,267,0.415,238,0.355,200
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,46,0.77,45,0.126666666666667,62,0.19,300
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,105,0.94,92,0.183333333333333,107,0.246666666666667,300
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,150,0.983333333333333,136,0.233333333333333,166,0.286666666666667,300
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,195,0.986666666666667,174,0.276666666666667,209,0.296666666666667,300
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,236,0.986666666666667,222,0.316666666666667,268,0.333333333333333,300
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,293,0.996666666666667,257,0.333333333333333,318,0.373333333333333,300
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,352,1,307,0.35,373,0.386666666666667,300
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,412,1,356,0.37,419,0.403333333333333,300
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,58,0.725,60,0.135,67,0.21,400
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,120,0.9,120,0.1825,123,0.25,400
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,181,0.9525,173,0.2275,180,0.2825,400
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,241,0.9675,229,0.2725,228,0.31,400
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,299,0.97,299,0.3125,297,0.3375,400
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,362,0.98,349,0.3375,349,0.36,400
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,438,0.9825,411,0.3575,415,0.37,400
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,506,0.9825,472,0.3725,464,0.4025,400
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,51,0.708,70,0.12,85,0.194,500
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,97,0.926,134,0.182,152,0.26,500
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,167,0.976,187,0.222,226,0.312,500
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,232,0.99,246,0.26,284,0.326,500
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,299,0.99,312,0.3,361,0.358,500
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,367,0.996,361,0.322,441,0.382,500
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,437,0.996,425,0.358,516,0.394,500
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,503,0.996,488,0.376,576,0.424,500
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,101,0.755,78,0.12,76,0.166666666666667,600
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,184,0.911666666666667,163,0.185,148,0.235,600
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,261,0.97,229,0.223333333333333,237,0.288333333333333,600
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,352,0.983333333333333,298,0.27,299,0.306666666666667,600
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,458,0.985,381,0.306666666666667,366,0.328333333333333,600
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,547,0.996666666666667,441,0.323333333333333,433,0.355,600
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,659,0.996666666666667,525,0.355,513,0.376666666666667,600
34210_M92,TRUE,FALSE,FALSE,34210,26.0420146428571,8000,760,0.996666666666667,604,0.375,577,0.4,600
34210_M92,TRUE,FALSE,FALSE,34210,3.2363575,1000,101,0.71,74,0.122857142857143,111,0.201428571428571,700
34210_M92,TRUE,FALSE,FALSE,34210,6.50260107142857,2000,191,0.907142857142857,156,0.185714285714286,198,0.264285714285714,700
34210_M92,TRUE,FALSE,FALSE,34210,9.69052571428571,3000,278,0.971428571428571,227,0.228571428571429,307,0.315714285714286,700
34210_M92,TRUE,FALSE,FALSE,34210,13.0230185714286,4000,369,0.978571428571429,302,0.275714285714286,394,0.335714285714286,700
34210_M92,TRUE,FALSE,FALSE,34210,16.2503385714286,5000,471,0.978571428571429,389,0.308571428571429,490,0.36,700
34210_M92,TRUE,FALSE,FALSE,34210,19.5402860714286,6000,565,0.99,453,0.324285714285714,584,0.388571428571429,700
34210_M92,TRUE,FALSE,FALSE,34210,22.8107778571429,7000,679,0.991428571428571,532,0.354285714285714,686,0.41,700
