barcode,st,n_reads,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method,clonal_complex,MLST.CC,CC_filled,note,predicted_cc_is_correct,predicted_mlst_is_single
17,ND,9000,97.81,484*,164,104*,493*,1*,1,1,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,10000,98.81,484*,164,104*,1,1,1,1,fast,CC1,CC1,CC1,taken from DLV with 2 STs,TRUE,TRUE
17,ND,1000,14.8,15*,1013*,"","",44*,512*,143*,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,2000,66.45,1*,1013*,2*,543*,660*,285*,1*,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,3000,74.7,1*,1013*,104*,1,660*,285*,1*,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,4000,96.07,1*,1081*,104*,1,660*,285*,1,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,5000,96.07,1*,1081*,104*,1,660*,285*,1,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,6000,97.17,1*,1081*,104*,1,660*,285,1,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,7000,97.17,1*,1081*,104*,1,660*,285,1,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,8000,97.17,1*,1081*,104*,1,660*,1,1,hac,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,1000,39.79,933*,168*,"",1*,"",512*,1089*,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,2000,66.93,933*,636*,2*,1,660*,644*,1089*,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,3000,80.2,933*,1*,2*,1,660*,644*,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,4000,95.98,933*,1,104,1,660*,644*,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,5000,96.39,933*,1,104,1,660*,1,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,6000,96.39,933*,1,104,1,660*,1,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,7000,96.39,933*,657,104,1,660*,1,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,8000,96.39,933*,657,104,1,660*,1,1,sup,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,9000,98.65,933*,657,104,1,1,1,1,sup,CC1,CC1,CC1,taken from DLV with 1 STs,TRUE,TRUE
17,ND,10000,98.65,933*,1,104,1,1,1,1,sup,CC1,CC1,CC1,taken from DLV with 1 STs,TRUE,TRUE
18,ND,1000,0.21,"",295*,"","","",290*,"",fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,2000,25.22,833*,87*,"","",5*,402*,3*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,3000,26.05,833*,792*,"",62*,5*,402*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,4000,26.38,166*,87*,"",62*,193*,402*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,5000,48.04,286*,1146*,"",62*,193*,402*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,6000,59.73,286*,1146*,"",62*,537*,402*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,7000,62.37,286*,1146*,"",62*,27*,402*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,8000,65.76,286*,1146*,"",62*,4*,345*,11*,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,9000,66.92,286*,1146*,"",62*,4*,4,3,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,10000,77.63,286*,1146*,1018*,62*,4*,4,3,fast,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,1000,0.46,"",87*,"","",294*,290*,"",hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,2000,27.38,"",87*,"",62*,294*,4*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,3000,27.44,"",87*,"",62*,294*,4*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,4000,27.47,"",87*,"",62*,294*,4*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,5000,58.47,286*,4*,"",62*,691*,4*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,6000,65.99,286*,4*,"",62*,748*,107*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,7000,67.57,286*,4*,"",62*,27*,107*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,8000,70.09,286*,4,"",62*,4,4*,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,9000,70.25,286*,4,"",62*,4,4,3*,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,10000,89.56,286*,4,537*,280*,4,4,3,hac,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,1000,0.38,"",105*,"","","",99*,"",sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,2000,27.68,"",67*,"","",94*,4*,3*,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,3000,27.78,"",67*,"","",233*,4*,3*,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,4000,41.41,"",1142*,"","",233*,4*,3*,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,5000,67.52,286*,1142*,"","",27*,4*,3*,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,6000,67.52,286*,1142*,"","",27*,4*,3*,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,7000,79.04,286*,1142*,70*,"",27*,4*,3,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,8000,81.44,286*,4,70*,61*,4,4*,3,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,9000,81.53,286*,4,70*,61*,4,4,3,sup,,CC72,CC72,"Tested up to DLV, none found",,
18,ND,10000,92.02,286*,4,1018*,580*,4,4,3,sup,,CC72,CC72,"Tested up to DLV, none found",,
2,ND,1000,10.11,"",349*,"",369*,790*,"","",fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,2000,31.38,185*,349*,"",369*,790*,199*,479*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,3000,41.29,271*,214*,"",369*,518*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,4000,49.05,905*,745*,"",369*,518*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,5000,54.32,905*,214*,"",2*,518*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,6000,54.32,905*,214*,"",2*,637*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,7000,58.01,905*,214*,"",2*,637*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,8000,64.83,905*,214*,"",2*,554*,199*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,9000,65.89,905*,214*,"",2*,554*,14*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,10000,69.39,905*,214*,"",2*,554*,14*,5,fast,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,1000,11.03,"",350*,"",446*,743*,"",497*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,2000,35.6,"",294*,"",446*,743*,14*,959*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,3000,44.36,325*,871*,"",446*,592*,14*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,4000,55.85,969*,469*,"",446*,592*,14*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,5000,58.21,969*,762*,"",2*,592*,14*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,6000,58.31,969*,762*,"",2*,592*,14*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,7000,66.21,6*,762*,"",2*,554*,14*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,8000,66.73,6*,762*,"",2,554*,14,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,9000,69.73,6*,762*,"",2,554*,14,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,10000,81.29,6*,688*,"",2,554*,14,5,hac,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,1000,13.27,"",629*,"",2*,44*,"","",sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,2000,38.85,"",629*,"",2*,294*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,3000,42.15,"",629*,"",2*,44*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,4000,58.82,969*,283*,"",2*,201*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,5000,59.47,969*,306*,"",2,201*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,6000,59.56,969*,306*,"",2,201*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,7000,61.73,6,306*,"",2,201*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,8000,68.83,6,306*,"",2,471*,14*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,9000,69.12,6,1001*,"",2,471*,14,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
2,ND,10000,71.51,6,306*,"",2,922*,14,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
25,ND,1000,23.27,442*,736*,"",119*,"","",679*,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,2000,57.39,442*,76*,"",119*,4*,226*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,3000,69.22,162*,340*,"",119*,4*,226*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,4000,73.52,162*,340*,"",119*,4*,226*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,5000,73.52,162*,340*,"",119*,4*,226*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,6000,86.17,162*,340*,478*,260*,4*,226*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,7000,90.23,162*,340*,478*,260*,4*,4*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,8000,91.7,551,340*,478*,260*,4*,4*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,9000,95.14,551,340*,60*,174*,4*,4*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,10000,95.33,551,340*,60*,174*,4,4*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,1000,25.64,"",50*,"",150*,25*,"",3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,2000,62.15,"",3*,"",150*,297*,4*,3*,hac,CC8,CC8,CC8,taken from DLV with 1 STs,TRUE,TRUE
25,ND,3000,74.45,2*,3,"",150*,297*,4*,3*,hac,CC8,CC8,CC8,taken from DLV with 1 STs,TRUE,TRUE
25,ND,4000,77.19,2*,3,"",150*,4*,4*,3*,hac,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,5000,77.19,2*,3,"",150*,4*,4*,3*,hac,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,6000,90.4,2*,3,537*,150*,4*,4*,3,hac,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,7000,93.36,2*,3,537*,150*,4*,4*,3,hac,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,8000,97.39,2,3,537*,1*,4*,4*,3,hac,CC8,CC8,CC8,taken from DLV with 87 STs,TRUE,TRUE
25,ND,9000,97.39,2,3,537*,1*,4*,4*,3,hac,CC8,CC8,CC8,taken from DLV with 87 STs,TRUE,TRUE
25,ND,10000,97.42,2,3,537*,1*,4,4*,3,hac,CC8,CC8,CC8,taken from DLV with 87 STs,TRUE,TRUE
25,ND,1000,38.96,"",818*,171*,123*,297*,"",3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,2000,65.74,"",340*,171*,123*,297*,4*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,3000,78.53,2*,340*,171*,123*,297*,4*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,4000,80.84,2*,340*,171*,123*,4,4*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,5000,80.84,2*,340*,171*,123*,4,4*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,6000,94.04,2*,340*,180*,123*,4,4,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,7000,94.88,2*,340*,180*,123*,4,4,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
25,ND,8000,98.36,2,340*,180*,1,4,4,3,sup,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,9000,98.36,2,340*,180*,1,4,4,3,sup,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
25,ND,10000,98.36,2,340*,180*,1,4,4,3,sup,CC8,CC8,CC8,taken from DLV with 65 STs,TRUE,TRUE
26,ND,1000,18.61,271*,306*,228*,2*,294*,23*,"",fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,2000,37.02,442*,127*,527*,2*,294*,23*,85*,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,3000,37.08,442*,127*,527*,2*,44*,23*,85*,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,4000,55.12,442*,5*,527*,2*,174*,118*,85*,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,5000,60.04,442*,5*,527*,2*,901*,566*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,6000,60.2,442*,5*,527*,2*,901*,229*,5*,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,7000,62.13,442*,5*,527*,2*,7*,229*,5,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,8000,76.13,442*,5*,527*,360*,7,14,5,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,9000,76.19,442*,5*,527*,360*,7,14,5,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,10000,86.08,970*,5*,527*,360*,7,14,5,fast,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,1000,21.15,906*,"",213*,612*,"",170*,"",hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,2000,27.38,155*,49*,6*,612*,"",170*,"",hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,3000,61.22,155*,5*,6*,612*,696*,2*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,4000,61.29,155*,5*,6*,612*,696*,2*,5*,hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,5000,66.69,155*,1103*,6,612*,901*,62*,5,hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,6000,66.69,155*,1103*,6,612*,901*,62*,5,hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,7000,72.53,195*,1103*,6,612*,7,385*,5,hac,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,8000,86.18,195*,5*,6,2*,7,14,5,hac,CC121,CC121,CC121,taken from DLV with 44 STs,TRUE,TRUE
26,ND,9000,86.24,195*,5*,6,2*,7,14,5,hac,CC121,CC121,CC121,taken from DLV with 44 STs,TRUE,TRUE
26,ND,10000,95.46,970*,1103*,6,2,7,14,5,hac,CC121,CC121,CC121,taken from DLV with 44 STs,TRUE,TRUE
26,ND,1000,21.01,"",6*,213*,369*,422*,"","",sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,2000,26.08,61*,49*,508*,369*,422*,23*,314*,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,3000,51.45,61*,5*,508*,369*,422*,23*,5*,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,4000,63.99,61*,5*,508*,369*,7*,23*,5*,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,5000,67.42,61*,5*,6*,369*,7*,62*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,6000,67.42,61*,5*,6*,369*,7*,62*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,7000,74.3,195*,5*,6*,369*,7*,273*,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,8000,86.47,195*,5*,6*,369*,7,14,5,sup,,CC121,CC121,"Tested up to DLV, none found",,
26,ND,9000,88.18,195*,5*,6*,2,7,14,5,sup,CC121,CC121,CC121,taken from DLV with 44 STs,TRUE,TRUE
26,ND,10000,88.21,195*,5*,6*,2,7,14,5,sup,CC121,CC121,CC121,taken from DLV with 44 STs,TRUE,TRUE
33,ND,1000,31.8,140*,393*,"",210*,868*,55*,514*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,2000,49.17,140*,393*,"",210*,43*,55*,514*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,3000,59.82,140*,393*,"",616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,4000,76.63,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,5000,77.59,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,6000,77.59,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,7000,77.62,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,8000,77.62,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,9000,77.62,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,10000,77.62,140*,393*,44*,616*,43*,55*,51*,fast,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,1000,33.48,22*,87*,548*,47*,113*,55*,"",hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,2000,62.91,969*,87*,44*,47*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,3000,91.53,969*,64*,44*,2*,43*,55,51*,hac,CC93,CC93,CC93,taken from DLV with 8 STs,TRUE,TRUE
33,ND,4000,91.53,969*,64*,44*,2*,43*,55,51*,hac,CC93,CC93,CC93,taken from DLV with 8 STs,TRUE,TRUE
33,ND,5000,91.53,969*,64*,44*,2*,43*,55,51*,hac,CC93,CC93,CC93,taken from DLV with 8 STs,TRUE,TRUE
33,ND,6000,92.27,969*,64*,44*,616*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,7000,92.47,969*,64*,44*,616*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,8000,92.47,969*,64*,44*,616*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,9000,92.47,969*,64*,44*,616*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,10000,92.47,969*,64*,44*,616*,43*,55,51*,hac,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,1000,47.41,22*,87*,"",298*,1*,55*,"",sup,,CC93,CC93,"Tested up to DLV, none found",,
33,ND,2000,58,22*,87*,44*,298*,43*,55,"",sup,,CC93,CC93,"Tested up to DLV, none found",,
