threshold,mecA_TP,mecA_FP,mecA_TN,mecA_FN,lukF_TP,lukF_FP,lukF_TN,lukF_FN,lukS_TP,lukS_FP,lukS_TN,lukS_FN,mecA_sensitivity,mecA_specificity,lukF_sensitivity,lukF_specificity,lukS_sensitivity,lukS_specificity,mean_estimated_coverage,basecall_method,n_sequence_used,max_reads_used
0.6,8,1,15,0,4,0,18,2,5,0,18,1,1,0.9375,0.666666666666667,1,0.833333333333333,1,3.74192875,sup,200,2000
0.6,8,1,14,0,3,0,18,2,4,0,18,1,1,0.933333333333333,0.6,1,0.8,1,5.64541152173913,sup,200,3000
0.6,8,1,13,0,5,0,17,0,4,0,17,1,1,0.928571428571429,1,1,0.8,1,7.44286160714286,sup,200,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,9.21561027597402,sup,200,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.9465871590909,sup,200,6000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,12.6731287987013,sup,200,7000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,14.428898198052,sup,200,8000
0.6,7,0,16,1,3,0,18,3,4,0,18,2,0.875,1,0.5,1,0.666666666666667,1,1.90581287202381,sup,300,1000
0.6,8,1,15,0,4,0,18,2,5,0,18,1,1,0.9375,0.666666666666667,1,0.833333333333333,1,3.74192875,sup,300,2000
0.6,8,1,14,0,3,0,18,2,4,0,18,1,1,0.933333333333333,0.6,1,0.8,1,5.64541152173913,sup,300,3000
0.6,8,1,13,0,5,0,17,0,4,0,17,1,1,0.928571428571429,1,1,0.8,1,7.44286160714286,sup,300,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,9.21561027597402,sup,300,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.9465871590909,sup,300,6000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,12.6731287987013,sup,300,7000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,14.428898198052,sup,300,8000
0.6,7,0,16,1,3,0,18,3,4,0,18,2,0.875,1,0.5,1,0.666666666666667,1,1.90581287202381,sup,400,1000
0.6,8,1,15,0,4,0,18,2,5,0,18,1,1,0.9375,0.666666666666667,1,0.833333333333333,1,3.74192875,sup,400,2000
0.6,8,1,14,0,3,0,18,2,4,0,18,1,1,0.933333333333333,0.6,1,0.8,1,5.64541152173913,sup,400,3000
0.6,8,1,13,0,5,0,17,0,4,0,17,1,1,0.928571428571429,1,1,0.8,1,7.44286160714286,sup,400,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,9.21561027597402,sup,400,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.9465871590909,sup,400,6000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,12.6731287987013,sup,400,7000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,14.428898198052,sup,400,8000
0.6,7,0,16,1,3,0,18,3,4,0,18,2,0.875,1,0.5,1,0.666666666666667,1,1.90581287202381,sup,500,1000
0.6,8,1,15,0,4,0,18,2,5,0,18,1,1,0.9375,0.666666666666667,1,0.833333333333333,1,3.74192875,sup,500,2000
0.6,8,1,14,0,3,0,18,2,4,0,18,1,1,0.933333333333333,0.6,1,0.8,1,5.64541152173913,sup,500,3000
0.6,8,1,13,0,5,0,17,0,4,0,17,1,1,0.928571428571429,1,1,0.8,1,7.44286160714286,sup,500,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,9.21561027597402,sup,500,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.9465871590909,sup,500,6000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,12.6731287987013,sup,500,7000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,14.428898198052,sup,500,8000
0.6,7,0,16,1,3,0,18,3,4,0,18,2,0.875,1,0.5,1,0.666666666666667,1,1.90581287202381,sup,600,1000
0.6,8,1,15,0,4,0,18,2,5,0,18,1,1,0.9375,0.666666666666667,1,0.833333333333333,1,3.74192875,sup,600,2000
0.6,8,1,14,0,3,0,18,2,4,0,18,1,1,0.933333333333333,0.6,1,0.8,1,5.64541152173913,sup,600,3000
0.6,8,1,13,0,5,0,17,0,4,0,17,1,1,0.928571428571429,1,1,0.8,1,7.44286160714286,sup,600,4000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,9.21561027597402,sup,600,5000
0.6,8,1,13,0,5,0,17,0,5,0,17,0,1,0.928571428571429,1,1,1,1,10.9465871590909,sup,600,6000
