Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
38775_7726_MF_8,CC398/CC5561,0.85928824422331,TRUE,TRUE
38776_7726_MF_9,CC5,0.938573115196492,TRUE,TRUE
38777_7726_MF_10,CC15,0.890821386405802,TRUE,TRUE
38778_7726_MF_11,CC15,0.88615280823073,TRUE,TRUE
38779_7726_MF_12,CC8,0.868949232585596,TRUE,TRUE
38780_7726_MF_13,CC15,0.881038961038961,TRUE,TRUE
38781_7726_MF_14,CC398/CC5561,0.868679372575477,TRUE,TRUE
38782_7726_MF_15,CC101,0.891050767414404,TRUE,TRUE
38783_7726_MF_16,CC8,0.864111991904199,TRUE,TRUE
38784_7726_MF_17,CC8,0.880755608028335,TRUE,TRUE
38785_7726_MF_18,CC59,0.861501096306291,TRUE,TRUE
38786_7726_MF_19,CC59,0.881038961038961,TRUE,TRUE
38787_7726_MF_20,CC59,0.869063923089897,TRUE,TRUE
38788_7726_MF_21,CC8,0.844897959183673,TRUE,TRUE
38789_7726_MF_22,CC8,0.842314049586777,TRUE,TRUE
38790_7726_MF_23,CC8,0.883656603137122,TRUE,TRUE
38791_7726_MF_24,CC395,0.818890200708382,TRUE,TRUE
38792_7726_MF_25,CC5,0.941015348288075,TRUE,TRUE
38793_7726_MF_26,CC1,0.898471917692697,TRUE,TRUE
38794_7726_MF_27,CC398/CC5561,0.856940462135268,TRUE,TRUE
38795_7726_MF_28,CC59,0.8761679878563,TRUE,TRUE
38796_7726_MF_29,CC8,0.8761679878563,TRUE,TRUE
38797_7726_MF_30,CC15,0.900887164783269,TRUE,TRUE
38798_7726_MF_93,CC1,0.888433125316242,TRUE,TRUE
38799_7726_MF_94,CC22,0.814194636532299,TRUE,TRUE
38800_7726_MF_95,CC30,0.859160060718502,TRUE,TRUE
38801_7726_MF_96,CC15,0.85886321470737,TRUE,TRUE
38802_8220_MF_72,CC8,0.857048406139314,TRUE,TRUE
38803_8220_MF_73,CC5,0.935739585090234,TRUE,TRUE
38804_8220_MF_74,CC5,0.928352167313206,TRUE,TRUE
38805_8220_MF_75,CC5,0.948618654073199,TRUE,TRUE
38806_8220_MF_76,CC15,0.881038961038961,TRUE,TRUE
38807_8220_MF_77,CC8,0.871539888682745,TRUE,TRUE
38808_8220_MF_78,CC5,0.931017034913139,TRUE,TRUE
38809_8220_MF_79,CC8,0.847454882779558,TRUE,TRUE
38810_8220_MF_80,CC45,0.849897115871142,TRUE,TRUE
38811_8220_MF_82,CC30,0.849984820374431,TRUE,TRUE
