Isolate.name,n_unknown,prop_unknown
45371_GCA_020997535_1,606,0.0036875893753613
45450_GCA_903932605_1,462,0.00281133051388931
45474_8796_MF_001,1306,0.00794718106307238
45475_8796_MF_002,1579,0.0096084218212797
45476_8796_MF_003,1271,0.00773420147868683
45477_8796_MF_004,1262,0.00767943529984483
45478_8796_MF_005,3754,0.0228435817080963
45479_8796_MF_006,1386,0.00843399154166793
45480_8796_MF_007,3937,0.0239571606778836
45481_8796_MF_008,3944,0.0239997565947607
45482_8796_MF_009,1230,0.00748471110840661
45483_8796_MF_010,1260,0.00766726503787994
45484_8796_MF_011,907,0.00551921380107707
45485_8796_MF_012,1278,0.00777679739556394
45486_8796_MF_013,3114,0.0189490978793319
45487_8796_MF_014,1892,0.0115130678187848
45488_8796_MF_015,4346,0.0264459792497034
45489_8796_MF_016,1248,0.00759424346609061
45490_8796_MF_017,1333,0.00811147959959838
45491_8796_MF_018,1854,0.0112818328414519
45492_8796_MF_019,3922,0.0238658837131469
45493_8796_MF_020,931,0.00566525694465573
45494_8796_MF_021,3243,0.0197340797760672
45495_8796_MF_022,1251,0.00761249885903794
45496_8796_MF_023,1795,0.0109228101134877
45497_8796_MF_024,958,0.00582955548118173
45498_8796_MF_025,1004,0.00610947150637418
45499_8796_MF_026,1684,0.0102473605744364
45500_8796_MF_027,1767,0.0107524264459793
45501_8796_MF_028,4082,0.024839504670338
45502_8796_MF_029,1565,0.00952322998752548
45503_8796_MF_030,4065,0.0247360574436365
45504_9153_MF_89,1863,0.0113365990202939
45505_9153_MF_90,943,0.00573827851644507
45506_9153_MF_91,3855,0.0234581799373232
45507_9153_MF_92,1843,0.011214896400645
45508_9153_MF_93,3066,0.0186570115921745
45509_9153_MF_94,965,0.00587215139805884
45510_9153_MF_95,3135,0.0190768856299632
45511_9153_MF_96,3687,0.0224358779322725
45512_9153_MF_97,1609,0.00979097575075303
45513_9153_MF_98,1233,0.00750296650135394
45514_9153_MF_99,1262,0.00767943529984483
45515_9153_MF_100,3356,0.0204216995770834
45516_9153_MF_101,1298,0.00789850001521283
45517_9153_MF_102,957,0.00582347035019929
45518_9153_MF_103,1768,0.0107585115769617
45519_9153_MF_104,927,0.00564091642072596
45520_9153_MF_105,1601,0.00974229470289348
45521_9153_MF_106,3458,0.0210423829372927
45522_9153_MF_107,3336,0.0202999969574345
45523_9153_MF_108,1232,0.0074968813703715
45524_9153_MF_109,1295,0.00788024462226549
45525_9153_MF_110,1849,0.0112514071865397
45526_9153_MF_111,1688,0.0102717010983661
45527_9153_MF_112,974,0.00592691757690084
45528_9153_MF_113,953,0.00579912982626951
45529_9153_MF_114,1735,0.010557702254541
45530_9153_MF_115,3400,0.020689445340311
45531_9153_MF_116,3300,0.0200809322420665
45532_9153_MF_117,3134,0.0190708004989807
45533_9153_MF_118,1325,0.00806279855173883
45534_9153_MF_119,3119,0.0189795235342441
45535_9153_MF_120,3890,0.0236711595217087
45536_9153_MF_121,3781,0.0230078802446223
45537_9153_MF_122,1218,0.00741168953661728
45538_9153_MF_123,1306,0.00794718106307238
45539_9153_MF_124,3832,0.0233182219247269
45540_9153_MF_125,3914,0.0238172026652874
45541_9153_MF_126,3109,0.0189186722244196
45542_9153_MF_127,1874,0.0114035354611008
45543_9153_MF_128,1294,0.00787415949128305
45544_9153_MF_129,3333,0.0202817415644872
45545_9153_MF_130,1012,0.00615815255423373
45546_9153_MF_131,3147,0.0191499072017525
45547_9153_MF_132,1600,0.00973620957191103
45548_9153_MF_133,3908,0.0237806918793927
45549_9153_MF_134,3366,0.0204825508869078
45550_9153_MF_135,1728,0.0105151063376639
45551_9153_MF_136,1325,0.00806279855173883
45552_9153_MF_137,1290,0.00784981896735327
45553_9153_MF_138,1804,0.0109775762923297
45554_9153_MF_139,4320,0.0262877658441598
45555_9153_MF_140,927,0.00564091642072596
45556_9153_MF_141,917,0.00558006511090151
45557_9153_MF_142,3382,0.020579912982627
45558_9153_MF_143,3937,0.0239571606778836
45559_9153_MF_144,865,0.0052636382998144
45560_9153_MF_145,934,0.00568351233760307
45561_9153_MF_146,1553,0.00945020841573615
45562_9153_MF_147,3127,0.0190282045821036
45563_9153_MF_148,903,0.00549487327714729
45564_9153_MF_149,3876,0.0235859676879545
45565_9153_MF_150,1374,0.0083609699698786
45566_9153_MF_151,3247,0.019758420299997
45567_9153_MF_152,1785,0.0108619588036633
45568_9153_MF_153,907,0.00551921380107707
45569_9153_MF_154,1348,0.00820275656433505
45570_9153_MF_155,3182,0.0193628867861381
45571_9153_MF_156,4068,0.0247543128365838
45572_9153_MF_157,4065,0.0247360574436365
45573_9153_MF_158,908,0.00552529893205951
45574_9153_MF_159,917,0.00558006511090151
45575_9153_MF_160,1265,0.00769769069279216
45576_9153_MF_161,4205,0.0255879757811787
45577_9153_MF_162,1858,0.0113061733653817
45578_9153_MF_163,3107,0.0189065019624547
45579_9153_MF_164,968,0.00589040679100618
45580_9153_MF_165,4275,0.0260139349499498
45581_9153_MF_166,1728,0.0105151063376639
45582_9153_MF_167,1215,0.00739343414366994
45583_9153_MF_168,4388,0.026701554750966
45584_9153_MF_169,893,0.00543402196732285
45585_9153_MF_170,3754,0.0228435817080963
45586_9153_MF_171,1822,0.0110871086500137
45587_9153_MF_172,1703,0.0103629780631028
45588_9153_MF_173,3802,0.0231356679952536
45589_9153_MF_174,1301,0.00791675540816016
45590_9153_MF_175,3144,0.0191316518088052
45591_9153_MF_176,1788,0.0108802141966106
