threshold,mecA_TP,mecA_FP,mecA_TN,mecA_FN,lukF_TP,lukF_FP,lukF_TN,lukF_FN,lukS_TP,lukS_FP,lukS_TN,lukS_FN,mecA_sensitivity,mecA_specificity,lukF_sensitivity,lukF_specificity,lukS_sensitivity,lukS_specificity,mean_estimated_coverage,n_sequence_used,reads_used
0.6,101,2,260,28,37,1,345,8,36,1,345,9,0.782945736434109,0.99236641221374,0.822222222222222,0.997109826589595,0.8,0.997109826589595,3.22333158385093,300,1000
0.6,128,4,258,1,45,1,345,0,45,1,345,0,0.992248062015504,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,300,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,300,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,300,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,300,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,300,6000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,22.5894987385824,300,7000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,25.8102185869565,300,8000
0.6,100,3,259,29,38,1,345,7,37,1,345,8,0.775193798449612,0.988549618320611,0.844444444444445,0.997109826589595,0.822222222222222,0.997109826589595,3.22333158385093,400,1000
0.6,127,4,258,2,45,1,345,0,45,1,345,0,0.984496124031008,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,400,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,400,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,400,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,400,5000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,19.3593097332846,400,6000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,22.5894987385824,400,7000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,25.8102185869565,400,8000
0.6,99,3,259,30,38,1,345,7,37,1,345,8,0.767441860465116,0.988549618320611,0.844444444444445,0.997109826589595,0.822222222222222,0.997109826589595,3.22333158385093,500,1000
0.6,125,4,258,4,45,1,345,0,45,1,345,0,0.968992248062015,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,500,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,500,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,500,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,500,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,500,6000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,22.5894987385824,500,7000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,25.8102185869565,500,8000
0.6,99,3,259,30,38,1,345,7,37,1,345,8,0.767441860465116,0.988549618320611,0.844444444444445,0.997109826589595,0.822222222222222,0.997109826589595,3.22333158385093,600,1000
0.6,126,4,258,3,45,1,345,0,45,1,345,0,0.976744186046512,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,600,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,600,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,600,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,600,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,600,6000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,22.5894987385824,600,7000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,25.8102185869565,600,8000
0.6,99,2,260,30,38,1,345,7,38,1,345,7,0.767441860465116,0.99236641221374,0.844444444444445,0.997109826589595,0.844444444444445,0.997109826589595,3.22333158385093,700,1000
0.6,128,4,258,1,45,1,345,0,45,1,345,0,0.992248062015504,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,700,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,700,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,700,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,700,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,700,6000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,22.5894987385824,700,7000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,25.8102185869565,700,8000
0.6,99,2,260,30,38,1,345,7,37,1,345,8,0.767441860465116,0.99236641221374,0.844444444444445,0.997109826589595,0.822222222222222,0.997109826589595,3.22333158385093,800,1000
0.6,127,4,258,2,45,1,345,0,45,1,345,0,0.984496124031008,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,800,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,800,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,800,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,800,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,800,6000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,22.5894987385824,800,7000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,25.8102185869565,800,8000
0.6,98,2,260,31,38,1,345,7,37,1,345,8,0.75968992248062,0.99236641221374,0.844444444444445,0.997109826589595,0.822222222222222,0.997109826589595,3.22333158385093,900,1000
0.6,125,4,258,4,45,1,345,0,45,1,345,0,0.968992248062015,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,900,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,900,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,900,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,900,5000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,19.3593097332846,900,6000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,22.5894987385824,900,7000
