barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,random_400,27,1000,fast,0.308641975308643,0.555555555555556,0.555555555555556,1.64345678571429,"CC5,CC8,CC1,CC45,CC59,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC121,CC12,CC789,CC425,CC7,CC1943,CC10,CC361/CC15,CC25,CC93,CC20","15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,2000,fast,0.663923182441701,0.814814814814815,0.814814814814815,3.44701821428571,"CC5,CC8,CC1,CC45,CC59,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC121,CC12,CC789,CC425,CC7,CC1943,CC361/CC15,CC25,CC93","22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,3000,fast,0.857338820301784,0.925925925925926,0.925925925925926,5.23615357142857,"CC8,CC1,CC78,CC97,CC361/CC15","25,25,25,25,25",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,4000,fast,0.857338820301784,0.925925925925926,0.925925925925926,6.66611607142857,"CC8,CC1,CC78,CC97,CC361/CC15","25,25,25,25,25",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,5000,fast,0.927297668038409,0.962962962962963,0.962962962962963,8.00557607142857,"CC8,CC1,CC78,CC97,CC361/CC15","26,26,26,26,26",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,6000,fast,0.927297668038409,0.962962962962963,0.962962962962963,9.12389428571429,"CC8,CC1,CC78,CC97,CC361/CC15","26,26,26,26,26",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,7000,fast,0.927297668038409,0.962962962962963,0.962962962962963,11.0822728571429,"CC8,CC1,CC78,CC97,CC361/CC15","26,26,26,26,26",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,27,8000,fast,0.927297668038409,0.962962962962963,0.962962962962963,13.0191557142857,"CC8,CC1,CC78,CC97,CC361/CC15","26,26,26,26,26",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,300,1000,fast,0.332444444444445,0.566666666666667,0.586666666666667,1.64345678571429,CC8,170,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,300,2000,fast,0.683277777777778,0.816666666666667,0.836666666666667,3.44701821428571,CC8,245,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
