barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
57,6000,ND,72.54,1*,87*,1,8,113*,5*,11*,sup
57,7000,ND,96.78,1*,3*,1,8,18*,760,11*,sup
57,8000,ND,97.71,1*,3,1,8,18*,5,11*,sup
57,9000,12,99.29,1*,3,1,8,11,5,11*,sup
57,10000,12,99.29,1*,3,1,8,11,5,11*,sup
58,1000,ND,12.24,"",449*,"","",44*,3*,"",sup
58,2000,ND,26.30,425*,302*,"","",44*,3*,1045*,sup
58,3000,ND,26.58,425*,303*,"","",44*,3*,1045*,sup
58,4000,ND,53.17,927*,319*,8*,"",44*,3,1045*,sup
58,5000,ND,59.87,755*,319*,8*,"",44*,3,1045*,sup
58,6000,ND,59.87,755*,319*,8*,"",44*,3,1045*,sup
58,7000,ND,59.97,10*,319*,8*,"",230*,3,1045*,sup
58,8000,ND,73.07,10*,319*,8*,"",880*,3,1045*,sup
58,9000,ND,73.41,10*,319*,8*,"",880*,3,1045*,sup
58,10000,ND,77.08,10*,319*,8,378*,880*,3,2,sup
65,1000,ND,14.44,"",66*,1,"",223*,"","",sup
65,2000,ND,27.73,489*,537*,1,"",223*,227*,"",sup
65,3000,ND,51.71,489*,628*,1,8*,223*,278*,"",sup
65,4000,ND,51.80,489*,628*,1,8*,32*,278*,"",sup
65,5000,ND,73.16,1*,628*,1,8*,441*,402*,"",sup
65,6000,ND,72.12,1,628*,1,8*,441*,402*,257*,sup
65,7000,ND,72.15,1,628*,1,8*,441*,402*,257*,sup
65,8000,ND,74.37,1,397*,1,8*,4,402*,257*,sup
65,9000,ND,76.82,1,397*,1,8*,4,402*,311*,sup
65,10000,ND,83.48,1,397*,1,8*,4,4,311*,sup
66,1000,ND,15.21,289*,366*,"",79*,169*,374*,942*,sup
66,2000,ND,15.49,289*,199*,2*,79*,169*,374*,942*,sup
66,3000,ND,34.06,289*,199*,2*,79*,44*,800*,10,sup
66,4000,ND,34.10,289*,474*,2*,79*,44*,800*,10,sup
66,5000,ND,38.42,289*,474*,2*,79*,25*,800*,10,sup
66,6000,ND,50.66,289*,474*,57*,79*,25*,800*,10,sup
66,7000,ND,65.25,289*,474*,1,4*,25*,1,10,sup
66,8000,ND,69.76,1*,474*,1,4*,25*,1,10,sup
66,9000,ND,79.09,1*,1141*,1,4,25*,1,10,sup
66,10000,ND,79.70,1*,1141*,1,4,25*,1,10,sup
73,1000,ND,26.06,"",601*,"","",5*,1*,"",sup
73,2000,ND,39.75,"",601*,"","",94*,1*,114*,sup
73,3000,ND,66.17,132*,601*,159*,"",184*,1*,114*,sup
73,4000,ND,67.73,132*,601*,159*,"",12*,1*,114*,sup
73,5000,ND,79.36,923*,601*,159*,"",12*,1*,114*,sup
73,6000,ND,68.23,132*,4,159*,"",12,1*,114*,sup
73,7000,ND,77.59,360*,4,1*,"",12,1,114*,sup
73,8000,ND,85.80,1*,4,1,60*,12,1,114*,sup
73,9000,ND,86.28,1*,4,1,60*,12,1,10*,sup
73,10000,5,98.16,1*,4,1,4*,12,1,10*,sup
74,1000,ND,29.39,"",85*,8*,"",10*,290*,"",sup
74,2000,ND,41.46,10*,85*,8*,"",10*,141*,314*,sup
74,3000,ND,45.89,10*,10*,8,"",10*,290*,314*,sup
74,4000,ND,71.54,10*,10*,8,555*,10*,3,12*,sup
74,5000,ND,87.77,10*,10*,8,555*,10,3,492*,sup
